

Results from heasarc_veroncat: Veron Catalog of Quasars & AGN, 13th Edition
Coordinate system:  Equatorial
|name             |redshift|object_type|lii     |bii     |broad_type|class           |
|NGC 5905         |   0.011|H2         | 90.5582| 51.5886|AGN       |AGN UNCLASSIFIED|
|LEDA  86269      |   0.011|S2         |172.7347|-11.4151|AGN       |  SEYFERT TYPE 2|
|F  182           |   0.011|H2         |331.3222|-23.3680|AGN       |AGN UNCLASSIFIED|
|IGR J16024-6107  |   0.011|S2         |323.9370| -6.3012|AGN       |  SEYFERT TYPE 2|
|NGC 5793         |   0.011|S2         |341.9682| 36.2902|AGN       |  SEYFERT TYPE 2|
|NGC 1125         |   0.011|S2         |198.5454|-60.3029|AGN       |  SEYFERT TYPE 2|
|PKS 2048-57      |   0.011|S1h        |339.9915|-38.7354|AGN       |  SEYFERT TYPE 1|
|Q 0258+0222      |   0.011|AG         |174.5064|-46.9181|AGN       |AGN UNCLASSIFIED|
|Q 1441+4635      |   0.011|AG         | 81.4702| 60.7146|AGN       |AGN UNCLASSIFIED|
|NGC 2639         |   0.011|S3         |168.8736| 38.1851|AGN       |           LINER|
|SDSS J15359+5641 |   0.011|S1         | 89.8727| 48.5211|AGN       |  SEYFERT TYPE 1|
|NGC 3660         |   0.011|S1.8       |269.1033| 48.3549|AGN       |  SEYFERT TYPE 2|
|NGC 3281         |   0.011|S2         |273.0070| 19.7829|AGN       |  SEYFERT TYPE 2|
|NGC  424         |   0.011|S1h        |283.1930|-78.2663|AGN       |  SEYFERT TYPE 1|
|NGC 3894         |   0.011|S          |137.1229| 55.9543|AGN       |         SEYFERT|
|SDSS J10510+6546 |   0.011|S1         |140.4978| 47.0307|AGN       |  SEYFERT TYPE 1|
|Q 0130+0215      |   0.012|AG         |143.1686|-58.7242|AGN       |AGN UNCLASSIFIED|
|UGC  3478        |   0.012|S1n        |151.4319| 22.1239|AGN       |  SEYFERT TYPE 1|
|SDSS J08375+2842 |   0.012|S1         |195.3388| 34.5860|AGN       |  SEYFERT TYPE 1|
|NGC 1961         |   0.012|S3         |143.8230| 19.4730|AGN       |           LINER|
|NGC 3171         |   0.012|S3         |260.5901| 29.1331|AGN       |           LINER|
|NPM1G-18.0288    |   0.012|S          |245.4835| 17.2544|AGN       |         SEYFERT|
|CTS J13.12       |   0.012|S1n        |322.3817| 42.3627|AGN       |  SEYFERT TYPE 1|
|NGC 3497         |   0.012|S3         |271.7200| 37.0099|AGN       |           LINER|
|UGC 11630        |   0.012|S2         | 47.5278|-25.3808|AGN       |  SEYFERT TYPE 2|
|NGC 4785         |   0.012|S2         |303.2733| 14.1196|AGN       |  SEYFERT TYPE 2|
|MCG -04.24.017   |   0.012|S1n        |260.4152| 25.8414|AGN       |  SEYFERT TYPE 1|
|NGC 5211         |   0.012|S3         |324.1900| 60.1056|AGN       |           LINER|
|NGC 4507         |   0.012|S1h        |299.6384| 22.8613|AGN       |  SEYFERT TYPE 1|
|IRAS 00227+6805  |   0.012|S2         |120.5380|  5.6106|AGN       |  SEYFERT TYPE 2|
|IGR J00256+6821  |   0.012|S2         |120.3534|  5.6302|AGN       |  SEYFERT TYPE 2|
|IC 2202          |   0.012|S2         |279.0379|-21.5745|AGN       |  SEYFERT TYPE 2|
|ESO 568-G21      |   0.012|S1.9       |266.4079| 32.4584|AGN       |  SEYFERT TYPE 2|
|MCG -04.30.034   |   0.012|S3         |303.1576| 36.5675|AGN       |           LINER|
|NGC  454E        |   0.012|S2         |296.1159|-61.4260|AGN       |  SEYFERT TYPE 2|
|NGC 7678         |   0.012|H2         | 98.8816|-36.5452|AGN       |AGN UNCLASSIFIED|
|MCG +01.27.020   |   0.012|S2         |240.2907| 51.5692|AGN       |  SEYFERT TYPE 2|
|MARK 1066        |   0.012|S2         |149.7447|-19.2704|AGN       |  SEYFERT TYPE 2|
|NGC 3393         |   0.012|S2         |270.6587| 29.8889|AGN       |  SEYFERT TYPE 2|
|ESO 420-G13      |   0.012|S2         |231.9826|-46.1151|AGN       |  SEYFERT TYPE 2|
|NGC 3798         |   0.012|S1         |217.5808| 73.8189|AGN       |  SEYFERT TYPE 1|
|NGC 5395         |   0.012|S2         | 73.1654| 72.5034|AGN       |  SEYFERT TYPE 2|
|IC 1657          |   0.012|S2         |262.6397|-82.6097|AGN       |  SEYFERT TYPE 2|
|SDSS J03302-0532 |   0.013|S1         |190.4377|-46.5224|AGN       |  SEYFERT TYPE 1|
|NGC 1194         |   0.013|S1.9       |179.1817|-48.9595|AGN       |  SEYFERT TYPE 2|
|NGC 2989         |   0.013|H2         |252.9669| 25.9517|AGN       |AGN UNCLASSIFIED|
|IC 4200          |   0.013|AG         |305.7746| 10.8038|AGN       |AGN UNCLASSIFIED|
|ESO 506-G04      |   0.013|S3         |294.3253| 38.2082|AGN       |           LINER|
|MARK  391        |   0.013|H2         |182.6725| 39.9463|AGN       |AGN UNCLASSIFIED|
|ESO 500-G34      |   0.013|S2         |264.4913| 28.1432|AGN       |  SEYFERT TYPE 2|
|NGC 1358         |   0.013|S2         |190.5929|-45.5590|AGN       |  SEYFERT TYPE 2|
|G 1314-1532      |   0.013|S?         |312.0584| 46.6045|AGN       |         SEYFERT|
|SDSS J12380+0009 |   0.013|S3         |295.5732| 62.8308|AGN       |           LINER|
|IC 1368          |   0.013|S2         | 53.1984|-30.1029|AGN       |  SEYFERT TYPE 2|
|NGC 7672         |   0.013|S2         | 92.9751|-45.5496|AGN       |  SEYFERT TYPE 2|
|ESO 103-G35      |   0.013|S2         |329.7789|-23.1756|AGN       |  SEYFERT TYPE 2|
|Zw 374.029       |   0.013|S1n        | 50.4940|-26.0424|AGN       |  SEYFERT TYPE 1|
|4U 1344-60       |   0.013|S1         |309.7706|  1.5064|AGN       |  SEYFERT TYPE 1|
|MCG -01.13.025   |   0.013|S1.2       |201.9418|-28.2584|AGN       |  SEYFERT TYPE 1|
|MARK  703        |   0.013|H2         |222.4548| 31.1185|AGN       |AGN UNCLASSIFIED|
|NGC  835         |   0.013|S2         |173.8785|-64.9759|AGN       |  SEYFERT TYPE 2|
|NGC  833         |   0.013|S3         |173.8475|-64.9842|AGN       |           LINER|
|MCG +04.48.002   |   0.013|S1         | 67.0049| -7.5717|AGN       |  SEYFERT TYPE 1|
|ESO 383-G18      |   0.013|S1.8       |312.7861| 28.0514|AGN       |  SEYFERT TYPE 2|
|IC 4296          |   0.013|S3         |313.5381| 27.9728|AGN       |           LINER|
|NGC 5140         |   0.013|S3         |311.1732| 28.4439|AGN       |           LINER|
|NGC 4169         |   0.013|S2         |197.2720| 81.1390|AGN       |  SEYFERT TYPE 2|
|MARK 1210        |   0.013|S2         |216.6959| 18.4816|AGN       |  SEYFERT TYPE 2|
|MARK  766        |   0.013|S1n        |190.6797| 82.2700|AGN       |  SEYFERT TYPE 1|
|NGC 1050         |   0.013|S2         |147.4728|-22.7572|AGN       |  SEYFERT TYPE 2|
|NGC 1241         |   0.013|S2         |190.7121|-52.3125|AGN       |  SEYFERT TYPE 2|
|NGC  788         |   0.013|S1h        |165.2542|-63.8045|AGN       |  SEYFERT TYPE 1|
|UGC  2936        |   0.013|S2         |188.5114|-35.5458|AGN       |  SEYFERT TYPE 2|
|Zw 063.060       |   0.013|S1n        |225.6275| 42.8631|AGN       |  SEYFERT TYPE 1|
|NGC 5135         |   0.013|S2         |311.7476| 32.4501|AGN       |  SEYFERT TYPE 2|
|SDSS J14571+4940 |   0.013|AG         | 84.5934| 57.0509|AGN       |AGN UNCLASSIFIED|
|NGC 5990         |   0.013|S2         | 10.0195| 41.4510|AGN       |  SEYFERT TYPE 2|
|Q 2207+0122      |   0.013|AG         | 62.9535|-41.7797|AGN       |AGN UNCLASSIFIED|
|ESO 362-G18      |   0.013|S1.5       |236.0219|-32.5714|AGN       |SEYFERT TYPE 1.5|
|MARK    3        |   0.014|S1h        |143.2960| 22.7186|AGN       |  SEYFERT TYPE 1|
|PKS 1306-241     |   0.014|S2         |307.9427| 38.3213|AGN       |  SEYFERT TYPE 2|
|Zw 308.017       |   0.014|S          |147.9691| 21.3841|AGN       |         SEYFERT|
|NGC 5124         |   0.014|S3         |311.4347| 32.0119|AGN       |           LINER|
|MARK 1414        |   0.014|H2         |230.4877| 24.6217|AGN       |AGN UNCLASSIFIED|
|NGC 1685         |   0.014|S1.9       |201.2108|-27.6492|AGN       |  SEYFERT TYPE 2|
|IC 4729          |   0.014|S2         |327.7106|-23.8242|AGN       |  SEYFERT TYPE 2|
|NGC 2258         |   0.014|S3         |140.2203| 25.8199|AGN       |           LINER|
|Q 0851+5625      |   0.014|AG         |160.9532| 39.3482|AGN       |AGN UNCLASSIFIED|
|NGC 4748         |   0.014|S1n        |303.2195| 49.4566|AGN       |  SEYFERT TYPE 1|
|ESO 436-G26      |   0.014|H2         |270.1580| 22.6009|AGN       |AGN UNCLASSIFIED|
|IGR J20187+4041  |   0.014|S2         | 78.1147|  2.6701|AGN       |  SEYFERT TYPE 2|
|NGC 1204         |   0.014|S2         |194.1859|-55.4943|AGN       |  SEYFERT TYPE 2|
|PKS 1718-649     |   0.014|S3         |326.9684|-15.8321|AGN       |           LINER|
|F   51           |   0.014|S1.5       |333.1992|-23.0908|AGN       |SEYFERT TYPE 1.5|
|IGR J11366-6002  |   0.014|S2         |293.7264|  1.4773|AGN       |  SEYFERT TYPE 2|
|NGC 2617         |   0.014|S1.8       |229.3007| 20.9386|AGN       |  SEYFERT TYPE 2|
|NGC 5318         |   0.014|S?         | 63.8309| 75.6703|AGN       |         SEYFERT|
|MCG -02.13.024   |   0.014|S3         |209.1119|-30.1035|AGN       |           LINER|
|MCG +00.11.002   |   0.014|S          |189.8287|-37.7789|AGN       |         SEYFERT|
|NGC  237         |   0.014|S?         |118.5487|-62.9294|AGN       |         SEYFERT|
|IRAS 11215-2806  |   0.014|S2         |280.5612| 30.6601|AGN       |  SEYFERT TYPE 2|
|ESO 267-013      |   0.014|S3         |294.0974| 18.3403|AGN       |           LINER|
|MARK  686        |   0.014|S2         | 62.4083| 65.7073|AGN       |  SEYFERT TYPE 2|
|NGC 5635         |   0.014|S3         | 39.2923| 68.4566|AGN       |           LINER|
|SDSS J08548+5740 |   0.014|S3         |159.1474| 39.0011|AGN       |           LINER|
|MARK  348        |   0.014|S1h        |122.2765|-30.9114|AGN       |  SEYFERT TYPE 1|
|IGR J21277+5656  |   0.014|S1n        | 97.8025|  4.3683|AGN       |  SEYFERT TYPE 1|
|SDSS J17303+5936 |   0.014|S1         | 88.3184| 33.3252|AGN       |  SEYFERT TYPE 1|
|SDSS J09086+3235 |   0.014|S1         |192.2382| 41.9266|AGN       |  SEYFERT TYPE 1|
|NGC 5675         |   0.014|S3         | 62.4064| 66.6898|AGN       |           LINER|
|UGC 11221B       |   0.014|S2         | 96.5613| 27.6233|AGN       |  SEYFERT TYPE 2|
|NGC 5291         |   0.014|S3         |317.0022| 30.9310|AGN       |           LINER|
|MCG -04.23.014   |   0.015|S          |259.8122| 19.4879|AGN       |         SEYFERT|
|SDSS J14005+0838 |   0.015|AG         |347.6285| 65.3365|AGN       |AGN UNCLASSIFIED|
|SDSS J09505+4418 |   0.015|AG         |175.2759| 50.0936|AGN       |AGN UNCLASSIFIED|
|NGC 2650         |   0.015|S1.8       |143.9683| 35.2848|AGN       |  SEYFERT TYPE 2|
|Q J0641-5119     |   0.015|AG         |260.4601|-22.3851|AGN       |AGN UNCLASSIFIED|
|UGC  3995        |   0.015|S2         |190.8808| 23.5669|AGN       |  SEYFERT TYPE 2|
|1H 2044-032      |   0.015|S1         | 44.1116|-27.0277|AGN       |  SEYFERT TYPE 1|
|NGC 5664         |   0.015|S2         |336.7857| 41.4316|AGN       |  SEYFERT TYPE 2|
|NGC 4726         |   0.015|S1         |302.9687| 48.6504|AGN       |  SEYFERT TYPE 1|
|MCG -02.27.009   |   0.015|S2         |260.0417| 37.1823|AGN       |  SEYFERT TYPE 2|
|ESO 565-G19      |   0.015|S2         |253.8695| 21.6804|AGN       |  SEYFERT TYPE 2|
|WKK 3646         |   0.015|S2         |314.9266| -8.2862|AGN       |  SEYFERT TYPE 2|
|ESO 548-G81      |   0.015|S1         |213.8310|-50.8300|AGN       |  SEYFERT TYPE 1|
|NGC 6812         |   0.015|S?         |342.3952|-29.5486|AGN       |         SEYFERT|
|SDSS J15528+4038 |   0.015|S1         | 64.8772| 50.4887|AGN       |  SEYFERT TYPE 1|
|NGC 2578         |   0.015|S          |235.5592| 13.0777|AGN       |         SEYFERT|
|MARK  352        |   0.015|S1.0       |125.0262|-31.0104|AGN       |  SEYFERT TYPE 1|
|MCG -02.09.040   |   0.015|S2         |198.2127|-51.1246|AGN       |  SEYFERT TYPE 2|
|ESO 104-G11      |   0.015|S2         |332.4506|-23.6002|AGN       |  SEYFERT TYPE 2|
|ESO 136-G06      |   0.015|S2         |312.3005| -0.3710|AGN       |  SEYFERT TYPE 2|
|ESO 136-G006     |   0.015|S2         |322.8367| -6.0683|AGN       |  SEYFERT TYPE 2|
|NGC 6860         |   0.015|S1.5       |335.7843|-32.7938|AGN       |SEYFERT TYPE 1.5|
|MARK 1419        |   0.015|S3         |231.6889| 38.7677|AGN       |           LINER|
|NGC  266         |   0.015|S3b        |122.5297|-30.5927|AGN       |           LINER|
|MCG -06.23.038   |   0.015|S          |274.6172| 16.6119|AGN       |         SEYFERT|
|MCG -02.08.033   |   0.015|S2         |189.3458|-55.7556|AGN       |  SEYFERT TYPE 2|
|IC 4597          |   0.015|S3         |344.2130| 11.5000|AGN       |           LINER|
|IC 1813          |   0.015|S3         |237.4357|-67.5523|AGN       |           LINER|
|ESO 404-G032     |   0.015|S2         | 11.4213|-54.4897|AGN       |  SEYFERT TYPE 2|
|NGC 5292         |   0.015|S3         |316.9099| 30.4017|AGN       |           LINER|
|NGC 1667         |   0.015|S2         |204.0568|-30.1238|AGN       |  SEYFERT TYPE 2|
|NGC 1614         |   0.015|H2         |204.4509|-34.3818|AGN       |AGN UNCLASSIFIED|
|NGC 4495         |   0.015|S3         |187.3386| 85.1443|AGN       |           LINER|
|MARK 1157        |   0.015|S1h        |132.4663|-26.4234|AGN       |  SEYFERT TYPE 1|
|SDSS J01565-0032 |   0.015|S1         |156.0842|-59.1461|AGN       |  SEYFERT TYPE 1|
|IC 1768          |   0.015|S3         |209.1457|-74.2895|AGN       |           LINER|
|ESO 323-G77      |   0.015|S1.2       |306.0184| 22.3674|AGN       |  SEYFERT TYPE 1|
|NGC 3035         |   0.015|S1.8       |244.2652| 34.8892|AGN       |  SEYFERT TYPE 2|
|NGC 1713         |   0.015|S3         |199.6971|-25.0563|AGN       |           LINER|
|NVSS J10077-3511 |   0.015|S3         |268.9475| 16.6662|AGN       |           LINER|
|RXS J05215+6718  |   0.015|S1.5       |144.8041| 16.8243|AGN       |SEYFERT TYPE 1.5|
|SDSS J07350+3249 |   0.015|S2         |186.5147| 22.8665|AGN       |  SEYFERT TYPE 2|
|IGR J02504+5443  |   0.015|S2         |139.6757| -4.2424|AGN       |  SEYFERT TYPE 2|
|MARK 1158        |   0.015|H2         |132.9267|-26.9856|AGN       |AGN UNCLASSIFIED|
|MARK  945        |   0.015|S          |107.4022|-65.5201|AGN       |         SEYFERT|
|NPM1G-08.0177    |   0.015|S1h        |205.1639|-32.7639|AGN       |  SEYFERT TYPE 1|
|NGC  841         |   0.015|S3b        |140.0078|-22.7128|AGN       |           LINER|
|UGC  3351        |   0.015|S2         |153.9928| 15.0108|AGN       |  SEYFERT TYPE 2|
|SBS 1221+585     |   0.015|S1n        |129.9143| 58.5047|AGN       |  SEYFERT TYPE 1|
|SDSS J10026+6422 |   0.015|S1         |146.8075| 44.1320|AGN       |  SEYFERT TYPE 1|
|MARK 1510        |   0.015|H2         | 35.7557| 70.6947|AGN       |AGN UNCLASSIFIED|
|Q 1209-1105      |   0.016|AG         |287.7535| 50.3330|AGN       |AGN UNCLASSIFIED|
|NGC 1167         |   0.016|S3         |150.9351|-20.4856|AGN       |           LINER|
|UGC  3752        |   0.016|S2         |182.4941| 19.5710|AGN       |  SEYFERT TYPE 2|
|SDSS J07413+3413 |   0.016|S1         |185.4856| 24.5409|AGN       |  SEYFERT TYPE 1|
|IC 4995          |   0.016|S2         |345.9366|-34.4671|AGN       |  SEYFERT TYPE 2|
|IGR J14552-5133  |   0.016|S1n        |321.7161|  6.7258|AGN       |  SEYFERT TYPE 1|
|AKN  539         |   0.016|S2         | 78.9128| 24.0275|AGN       |  SEYFERT TYPE 2|
|ESO 202-G23      |   0.016|S3         |254.4828|-43.4594|AGN       |           LINER|
|IC 4329A         |   0.016|S1.2       |317.4964| 30.9200|AGN       |  SEYFERT TYPE 1|
|ESO 323-G32      |   0.016|S1.9       |303.3026| 21.2404|AGN       |  SEYFERT TYPE 2|
|CXOU J221313-2204|   0.016|H2         | 32.0915|-53.8282|AGN       |AGN UNCLASSIFIED|
|NGC 2945         |   0.016|S          |254.4635| 22.1010|AGN       |         SEYFERT|
|SDSS J23123+1436 |   0.016|S2         | 89.9656|-41.8334|AGN       |  SEYFERT TYPE 2|
|SDSS J12489+4035 |   0.016|S1.9       |124.9343| 76.5229|AGN       |  SEYFERT TYPE 2|
|UGC  4145        |   0.016|S2         |206.2987| 21.8825|AGN       |  SEYFERT TYPE 2|
|3C 278           |   0.016|S3         |304.1406| 50.3010|QSO       |           LINER|
|NPM1G-04.0195    |   0.016|S3         |199.3962|-33.6843|AGN       |           LINER|
|UGC  3157        |   0.016|S2         |180.9666|-17.0598|AGN       |  SEYFERT TYPE 2|
|1WGA J1611.8-6037|   0.016|S1.5       |325.1963| -6.7445|AGN       |SEYFERT TYPE 1.5|
|IRAS 09026-3817  |   0.016|S1.0       |261.8184|  5.6501|AGN       |  SEYFERT TYPE 1|
|ESO 362-G08      |   0.016|S2         |237.6005|-34.6651|AGN       |  SEYFERT TYPE 2|
|Q 2258+0216A     |   0.016|AG         | 76.8113|-50.2110|AGN       |AGN UNCLASSIFIED|
|NGC 4903         |   0.016|S2         |305.4428| 31.8883|AGN       |  SEYFERT TYPE 2|
|MARK  461        |   0.016|S2         | 66.6696| 76.1044|AGN       |  SEYFERT TYPE 2|
|NGC  315         |   0.016|S3h        |124.5640|-32.4985|AGN       |           LINER|
|Q 1638+4629      |   0.016|AG         | 72.2039| 41.5367|AGN       |AGN UNCLASSIFIED|
|UM 319           |   0.016|S2         |141.1857|-63.7116|AGN       |  SEYFERT TYPE 2|
|NGC 7679         |   0.016|S1.9       | 86.6793|-53.4398|AGN       |  SEYFERT TYPE 2|
|MS 04595+0327    |   0.016|S1         |196.3704|-22.3113|AGN       |  SEYFERT TYPE 1|
|IC 4518A         |   0.016|S2         |326.1138| 13.9849|AGN       |  SEYFERT TYPE 2|
|NGC 5357         |   0.016|S3         |319.0966| 30.4960|AGN       |           LINER|
|MCG -04.52.019   |   0.016|S3         | 26.9290|-54.0486|AGN       |           LINER|
|ESO 417-G06      |   0.016|S2         |231.1075|-62.4936|AGN       |  SEYFERT TYPE 2|
|IC 5135          |   0.016|S1.9       |  9.9432|-50.3524|AGN       |  SEYFERT TYPE 2|
|MCG -06.23.004   |   0.016|S3         |271.1971| 14.6048|AGN       |           LINER|
|IRAS 04502-0317  |   0.016|S2         |201.4973|-27.7442|AGN       |  SEYFERT TYPE 2|
|MARK    1        |   0.016|S2         |128.8708|-29.4975|AGN       |  SEYFERT TYPE 2|
|NGC  973         |   0.016|S2         |146.8660|-25.5399|AGN       |  SEYFERT TYPE 2|
|MARK 1040        |   0.016|S1.0       |146.1139|-27.1662|AGN       |  SEYFERT TYPE 1|
|ESO 269-G12      |   0.016|AG         |303.8624| 15.9370|AGN       |AGN UNCLASSIFIED|
|MCG -01.26.024   |   0.017|S3         |246.4553| 38.3542|AGN       |           LINER|
|MARK  341        |   0.017|S          |118.6632|-38.7660|AGN       |         SEYFERT|
|IGR J20216+4359  |   0.017|S2         | 81.1973|  4.0650|AGN       |  SEYFERT TYPE 2|
|SDSS J09596+0002 |   0.017|S1         |238.9891| 40.6821|AGN       |  SEYFERT TYPE 1|
|IRAS 13218-1929  |   0.017|S1.9       |313.5234| 42.4359|AGN       |  SEYFERT TYPE 2|
|2E 0507+1626     |   0.017|S1.5       |186.1133|-13.4991|AGN       |SEYFERT TYPE 1.5|
|ESO 195-G35      |   0.017|S2         |293.0894|-66.4682|AGN       |  SEYFERT TYPE 2|
|IRAS 11353-4854  |   0.017|S1.9       |290.7403| 11.9421|AGN       |  SEYFERT TYPE 2|
|NGC 1275         |   0.017|S1.5       |150.5759|-13.2612|AGN       |SEYFERT TYPE 1.5|
|UGC 12282        |   0.017|S1.9       |101.0518|-17.1100|AGN       |  SEYFERT TYPE 2|
|ESO  18-G09      |   0.017|S2         |290.8368|-21.8192|AGN       |  SEYFERT TYPE 2|
|SDSS J13354+0124 |   0.017|S2         |327.0613| 62.2042|AGN       |  SEYFERT TYPE 2|
|Zw 468.002       |   0.017|S2         |185.0425|-13.4927|AGN       |  SEYFERT TYPE 2|
|IRAS 01475-0740  |   0.017|S1h        |160.8176|-65.8930|AGN       |  SEYFERT TYPE 1|
|IC 1816          |   0.017|S2         |243.4176|-66.7422|AGN       |  SEYFERT TYPE 2|
|Q 0148+0126      |   0.017|AG         |151.9234|-57.7601|AGN       |AGN UNCLASSIFIED|
|MARK  573        |   0.017|S1h        |148.2334|-57.9184|AGN       |  SEYFERT TYPE 1|
|NGC 7682         |   0.017|S1h        | 86.8012|-53.4592|AGN       |  SEYFERT TYPE 1|
|ESO 139-G12      |   0.017|S2         |332.3524|-14.6917|AGN       |  SEYFERT TYPE 2|
|MCG -03.34.064   |   0.017|S1h        |313.5401| 45.5045|AGN       |  SEYFERT TYPE 1|
|IC 4687          |   0.017|H2         |336.5159|-17.9182|AGN       |AGN UNCLASSIFIED|
|IC 4709          |   0.017|S2         |338.4387|-18.7526|AGN       |  SEYFERT TYPE 2|
|ESO 299-G20      |   0.017|S2         |245.7651|-62.7832|AGN       |  SEYFERT TYPE 2|
|IC  164          |   0.017|S3         |156.1201|-62.9961|AGN       |           LINER|
|MCG -01.05.047   |   0.017|S2         |157.3561|-62.1437|AGN       |  SEYFERT TYPE 2|
|NGC 5548         |   0.017|S1.5       | 31.9612| 70.4956|AGN       |SEYFERT TYPE 1.5|
|MCG -07.05.010   |   0.017|S3         |254.4913|-69.4430|AGN       |           LINER|
|1ES 1927+654     |   0.017|S2         | 96.9884| 20.9658|AGN       |  SEYFERT TYPE 2|
|SDSS J01356+0000 |   0.017|S2         |146.0919|-60.8549|AGN       |  SEYFERT TYPE 2|
|MCG -02.08.014   |   0.017|S2         |185.5559|-55.8847|AGN       |  SEYFERT TYPE 2|
|SDSS J08327+5226 |   0.017|S2         |166.1369| 36.4044|AGN       |  SEYFERT TYPE 2|
|3C 449.0         |   0.017|S          | 95.4512|-15.9236|AGN       |         SEYFERT|
|NPM1G+13.0367    |   0.017|S3         |  0.6206| 67.0532|AGN       |           LINER|
|MARK  359        |   0.017|S1n        |134.5968|-42.8736|AGN       |  SEYFERT TYPE 1|
|Q 0050+0220      |   0.017|AG         |123.7793|-60.2481|AGN       |AGN UNCLASSIFIED|
|NGC  777         |   0.017|S2         |139.7337|-29.1874|AGN       |  SEYFERT TYPE 2|
|MARK 1044        |   0.017|S1n        |179.6942|-60.4774|AGN       |  SEYFERT TYPE 1|
|MARK  993        |   0.017|S1.5       |131.2781|-30.1824|AGN       |SEYFERT TYPE 1.5|
|MARK  577        |   0.017|AG         |144.3516|-47.9336|AGN       |AGN UNCLASSIFIED|
|NGC 7591         |   0.017|S          | 85.7659|-49.4436|AGN       |         SEYFERT|
|NGC 7469         |   0.017|S1.5       | 83.0983|-45.4667|AGN       |SEYFERT TYPE 1.5|
|UGC  1395        |   0.017|S1.9       |149.8839|-52.8820|AGN       |  SEYFERT TYPE 2|
|IC 1833          |   0.017|S2         |221.8234|-65.6245|AGN       |  SEYFERT TYPE 2|
|SDSS J11025-0017 |   0.017|S1         |254.8029| 52.1013|AGN       |  SEYFERT TYPE 1|
|SDSS J08056+2610 |   0.017|AG         |195.7998| 27.0796|AGN       |AGN UNCLASSIFIED|
|ESO 353-G09      |   0.017|S2         |249.9106|-79.4070|AGN       |  SEYFERT TYPE 2|
|IRAS 00160-0719  |   0.018|S2         |100.2356|-68.4600|AGN       |  SEYFERT TYPE 2|
|Q 0430+0223      |   0.018|AG         |193.0634|-28.9853|AGN       |AGN UNCLASSIFIED|
|NGC  773         |   0.018|S3         |171.5955|-67.7628|AGN       |           LINER|
|SDSS J03349-0548 |   0.018|S1         |191.7128|-45.6937|AGN       |  SEYFERT TYPE 1|
|NGC 5968         |   0.018|S3         |340.7726| 19.6709|AGN       |           LINER|
|ESO 576-G77      |   0.018|S3         |315.1135| 40.9891|AGN       |           LINER|
|ESO 576-G69      |   0.018|S?         |314.9274| 41.0367|AGN       |         SEYFERT|
|SDSS J01469+1307 |   0.018|S2         |143.1931|-47.5499|AGN       |  SEYFERT TYPE 2|
|MCG -01.30.041   |   0.018|S1.8       |277.0110| 54.6778|AGN       |  SEYFERT TYPE 2|
|UGC  1479        |   0.018|S2         |142.3327|-35.7894|AGN       |  SEYFERT TYPE 2|
|ESO 045-011      |   0.018|S3         |317.2087|-25.8020|AGN       |           LINER|
|Zw 142.019       |   0.018|S          | 48.7877| 18.0919|AGN       |         SEYFERT|
|NGC 4404         |   0.018|S3         |292.1081| 54.6614|AGN       |           LINER|
|IC 1417          |   0.018|S2         | 43.5134|-47.7249|AGN       |  SEYFERT TYPE 2|
|NGC 3831         |   0.018|S2         |278.3217| 46.7125|AGN       |  SEYFERT TYPE 2|
|MCG -02.31.015   |   0.018|S3         |285.9844| 48.7054|AGN       |           LINER|
|NGC  599         |   0.018|S          |158.0029|-72.1785|AGN       |         SEYFERT|
|F  334           |   0.018|S2         |342.8791|-20.9346|AGN       |  SEYFERT TYPE 2|
|AM 0426-625S     |   0.018|S2         |273.9958|-40.1710|AGN       |  SEYFERT TYPE 2|
|ESO 116-G18      |   0.018|S2         |276.1741|-47.6386|AGN       |  SEYFERT TYPE 2|
|SDSS J00217+0033 |   0.018|S2         |107.2797|-61.4092|AGN       |  SEYFERT TYPE 2|
|PKS 0056-572     |   0.018|S1         |300.9253|-60.1135|AGN       |  SEYFERT TYPE 1|
|IGR J14515-5542  |   0.018|S2         |319.3500|  3.3179|AGN       |  SEYFERT TYPE 2|
|MCG -01.05.031   |   0.018|S2         |154.2315|-63.3696|AGN       |  SEYFERT TYPE 2|
|UGC  4332        |   0.018|S2         |202.3895| 28.4201|AGN       |  SEYFERT TYPE 2|
|TOL 1220+051     |   0.018|AG         |284.9329| 66.7187|AGN       |AGN UNCLASSIFIED|
|SDSS J10460+0001 |   0.018|S3         |249.7153| 49.4774|AGN       |           LINER|
|SDSS J11237-0105 |   0.018|S1         |262.6298| 54.7616|AGN       |  SEYFERT TYPE 1|
|UGC 11805SW      |   0.018|S3         | 89.9034| -8.2983|AGN       |           LINER|
|IC 4553          |   0.018|S          | 36.6277| 53.0282|AGN       |         SEYFERT|
|SDSS J16431+4550 |   0.018|S2         | 71.4523| 41.0200|AGN       |  SEYFERT TYPE 2|
|SDSS J00197+0035 |   0.018|S2         |106.2997|-61.2547|AGN       |  SEYFERT TYPE 2|
|IC  184          |   0.018|S2         |164.7219|-64.0108|AGN       |  SEYFERT TYPE 2|
|UGC  3601        |   0.018|S1.5       |176.4971| 17.8275|AGN       |SEYFERT TYPE 1.5|
|MARK 1058        |   0.018|S2         |148.7898|-21.8686|AGN       |  SEYFERT TYPE 2|
|UGC   615        |   0.018|S2         |125.8695|-47.4940|AGN       |  SEYFERT TYPE 2|
|SDSS J01128-0017 |   0.018|S2         |134.6358|-62.6751|AGN       |  SEYFERT TYPE 2|
